time,open,high,low,close,volume
,,,,,
,,,,,
2022-01-28 20:00:00,12.34,12.39,12.34,12.39,2465
2022-01-28 19:30:00,12.34,12.39,12.34,12.39,625
2022-01-28 19:00:00,12.3,12.3,12.3,12.3,530
2022-01-28 18:30:00,12.25,12.34,12.25,12.34,550
2022-01-28 18:00:00,12.28,12.33,12.28,12.28,1296
2022-01-28 17:30:00,12.38,12.38,12.3,12.3,632
2022-01-28 17:00:00,12.33,12.38,12.3,12.3,909
2022-01-28 16:30:00,12.3,12.39,12.3,12.39,2247
2022-01-28 16:00:00,12.133,12.31,12.085,12.3,243020
2022-01-28 15:30:00,12.1,12.16,12.07,12.14,39058
2022-01-28 15:00:00,11.97,12.1,11.94,12.1,60634
2022-01-28 14:30:00,12.13,12.15,11.95,11.97,58736
2022-01-28 14:00:00,12.11,12.15,12.085,12.12,90431
2022-01-28 13:30:00,12.08,12.16,12.07,12.105,49474
2022-01-28 13:00:00,12.13,12.165,12.07,12.08,67812
2022-01-28 12:30:00,12.195,12.23,12.11,12.1323,75220
2022-01-28 12:00:00,12.13,12.2,12.1,12.195,179242
2022-01-28 11:30:00,12.039,12.17,11.99,12.13,117894
2022-01-28 11:00:00,11.84,12.0399,11.81,12.039,157217
2022-01-28 10:30:00,11.81,11.905,11.73,11.84,98266
2022-01-28 10:00:00,11.9979,12.04,11.76,11.7701,276553
2022-01-28 09:30:00,11.95,12.0,11.94,11.94,24031
2022-01-28 09:00:00,11.87,11.96,11.87,11.96,2249
2022-01-28 08:30:00,12.0,12.12,11.86,11.86,5063
2022-01-28 08:00:00,11.95,11.95,11.88,11.88,1749
2022-01-28 07:30:00,12.09,12.09,11.96,11.96,3512
2022-01-28 06:30:00,12.04,12.04,12.03,12.03,372
2022-01-28 06:00:00,12.1,12.1,12.1,12.1,2651
2022-01-28 05:30:00,12.02,12.02,12.02,12.02,193
2022-01-28 04:30:00,11.95,11.95,11.95,11.95,201
2022-01-27 20:00:00,12.03,12.03,12.03,12.03,299
2022-01-27 19:30:00,12.05,12.05,12.01,12.01,2600
2022-01-27 18:30:00,12.05,12.05,12.05,12.05,200
2022-01-27 18:00:00,12.03,12.03,12.03,12.03,130
2022-01-27 17:30:00,12.01,12.1,12.0,12.07,1113
2022-01-27 17:00:00,11.99,12.25,11.99,12.01,3391
2022-01-27 16:30:00,11.96,11.99,11.96,11.99,637
2022-01-27 16:00:00,11.97,12.04,11.93,11.93,108751
2022-01-27 15:30:00,12.02,12.07,11.94,11.9699,53760
2022-01-27 15:00:00,12.015,12.075,11.969,12.01,70570
2022-01-27 14:30:00,12.06,12.13,12.0043,12.0118,46645
2022-01-27 14:00:00,11.955,12.07,11.955,12.06,88302
2022-01-27 13:30:00,12.11,12.14,11.9599,11.9599,116225
2022-01-27 13:00:00,12.1481,12.15,12.05,12.1181,107065
2022-01-27 12:30:00,12.25,12.2576,12.13,12.15,123128
2022-01-27 12:00:00,12.26,12.32,12.25,12.26,45918
2022-01-27 11:30:00,12.28,12.34,12.23,12.25,69119
2022-01-27 11:00:00,12.26,12.285,12.195,12.275,140274
2022-01-27 10:30:00,12.4099,12.445,12.27,12.27,87138
