1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
10.41,10.51,9.67,9.8,9.8,56526152.0,0.0,1.0
10.31,10.6,10.2,10.51,10.51,35906303.0,0.0,1.0
10.0,10.75,9.94,10.46,10.46,66081898.0,0.0,1.0
9.3,9.95,9.26,9.83,9.83,56384485.0,0.0,1.0
9.15,9.27,9.03,9.2,9.2,31341451.0,0.0,1.0
9.03,9.13,8.835,8.93,8.93,20452452.0,0.0,1.0
9.22,9.23,8.83,9.07,9.07,28722601.0,0.0,1.0
9.35,9.455,9.13,9.27,9.27,30132788.0,0.0,1.0
9.5,9.53,9.06,9.09,9.09,36811681.0,0.0,1.0
8.96,9.37,8.9101,9.27,9.27,52342775.0,0.0,1.0
8.1,9.06,8.065,8.75,8.75,56190647.0,0.0,1.0
8.54,8.74,8.18,8.26,8.26,38374663.0,0.0,1.0
8.13,8.54,8.1,8.5,8.5,27761077.0,0.0,1.0
8.21,8.32,8.07,8.25,8.25,40281714.0,0.0,1.0
8.51,8.555,8.345,8.42,8.42,36783141.0,0.0,1.0
8.35,8.69,8.03,8.55,8.55,43877061.0,0.0,1.0
8.78,8.81,8.33,8.51,8.51,46631316.0,0.0,1.0
9.01,9.1693,8.715,8.79,8.79,48894342.0,0.0,1.0
8.865,9.18,8.67,9.18,9.18,39709092.0,0.0,1.0
9.19,9.255,8.87,8.97,8.97,45081476.0,0.0,1.0
9.5,9.64,9.3,9.31,9.31,35308771.0,0.0,1.0
8.97,9.7,8.92,9.57,9.57,60775133.0,0.0,1.0
8.5,9.12,8.31,9.09,9.09,73358795.0,0.0,1.0
9.335,9.45,8.77,8.83,8.83,82172521.0,0.0,1.0
9.2,9.44,9.12,9.39,9.39,53310754.0,0.0,1.0
9.53,9.585,9.24,9.33,9.33,42356413.0,0.0,1.0
9.51,9.515,9.13,9.3,9.3,56808866.0,0.0,1.0
10.39,10.4,9.58,9.79,9.79,50261645.0,0.0,1.0
10.01,10.2059,9.9,10.18,10.18,34099396.0,0.0,1.0
10.05,10.31,9.9599,10.03,10.03,35046665.0,0.0,1.0
10.1,10.2377,9.9301,10.19,10.19,37467037.0,0.0,1.0
10.46,10.6,10.185,10.19,10.19,38647013.0,0.0,1.0
10.09,10.5,10.09,10.5,10.5,35925516.0,0.0,1.0
10.19,10.35,9.91,10.31,10.31,38028610.0,0.0,1.0
10.47,10.54,10.28,10.31,10.31,30815835.0,0.0,1.0
10.25,10.39,10.02,10.31,10.31,38377073.0,0.0,1.0
10.97,11.02,10.37,10.47,10.47,40466261.0,0.0,1.0
10.75,10.91,10.58,10.65,10.65,28370236.0,0.0,1.0
11.0,11.02,10.56,10.92,10.92,35350748.0,0.0,1.0
10.95,11.03,10.67,10.93,10.93,45482552.0,0.0,1.0
11.65,11.9,11.16,11.19,11.19,55798837.0,0.0,1.0
12.12,12.37,11.81,11.96,11.96,68872821.0,0.0,1.0
12.24,12.32,11.585,12.1,12.1,65907216.0,0.0,1.0
11.91,12.355,11.76,12.07,12.07,45863141.0,0.0,1.0
12.43,12.44,11.85,12.02,12.02,54969955.0,0.0,1.0
12.145,13.22,11.98,12.71,12.71,69734435.0,0.0,1.0
12.43,12.47,11.8,12.17,12.17,51635145.0,0.0,1.0
11.46,11.77,11.28,11.63,11.63,26348934.0,0.0,1.0
14.36,14.36,11.06,11.68,11.68,37478554.0,0.0,1.0
11.28,12.35,11.15,12.06,12.06,64034111.0,0.0,1.0
10.95,11.34,10.83,11.07,11.07,39012525.0,0.0,1.0
10.88,11.175,10.62,10.77,10.77,33638133.0,0.0,1.0
11.485,11.69,10.98,11.01,11.01,43306240.0,0.0,1.0
11.32,11.51,11.09,11.41,11.41,48895649.0,0.0,1.0
11.44,11.81,11.23,11.8,11.8,41631545.0,0.0,1.0
11.49,11.81,11.125,11.81,11.81,40125272.0,0.0,1.0
11.35,11.72,10.99,11.51,11.51,42554540.0,0.0,1.0
11.1,11.38,10.68,11.24,11.24,44315541.0,0.0,1.0
10.63,11.12,10.63,10.76,10.76,42870126.0,0.0,1.0
10.06,10.385,9.5,10.37,10.37,70946669.0,0.0,1.0
10.39,10.97,10.24,10.86,10.86,37262747.0,0.0,1.0
9.97,10.9,9.85,10.63,10.63,63723786.0,0.0,1.0
10.21,10.505,9.5,9.63,9.63,54095603.0,0.0,1.0
9.83,9.98,9.52,9.75,9.75,40863792.0,0.0,1.0
9.92,10.27,9.77,9.99,9.99,49380227.0,0.0,1.0
10.01,10.25,9.61,9.8,9.8,42225321.0,0.0,1.0
10.53,10.61,9.97,10.06,10.06,54165749.0,0.0,1.0
11.22,11.22,10.69,10.97,10.97,33666120.0,0.0,1.0
11.45,11.58,10.76,11.29,11.29,32468886.0,0.0,1.0
11.07,11.705,10.86,11.61,11.61,34243991.0,0.0,1.0
10.67,11.59,10.58,11.09,11.09,44765263.0,0.0,1.0
11.655,11.655,10.83,11.06,11.06,40564575.0,0.0,1.0
12.13,12.38,11.595,11.6,11.6,46476292.0,0.0,1.0
12.33,12.6299,11.68,11.88,11.88,41620865.0,0.0,1.0
12.45,12.53,11.9701,12.1,12.1,33251867.0,0.0,1.0
13.11,13.24,12.03,12.31,12.31,52084305.0,0.0,1.0
12.3,12.58,12.16,12.49,12.49,35211112.0,0.0,1.0
13.17,13.32,12.6201,12.63,12.63,44101137.0,0.0,1.0
13.0,13.55,12.88,13.41,13.41,52377739.0,0.0,1.0
12.42,12.715,12.145,12.58,12.58,52840541.0,0.0,1.0
13.0,13.28,12.43,13.24,13.24,62747576.0,0.0,1.0
13.99,14.03,12.59,12.8,12.8,94815793.0,0.0,1.0
12.06,13.32,11.97,13.13,13.13,106291222.0,0.0,1.0
12.35,12.55,11.95,12.09,12.09,59583374.0,0.0,1.0
11.34,13.27,11.34,12.78,12.78,173184958.0,0.0,1.0
10.65,10.9,10.39,10.5,10.5,48292293.0,0.0,1.0
10.05,10.63,9.99,10.12,10.12,39198805.0,0.0,1.0
10.26,10.3,9.96,10.17,10.17,23487640.0,0.0,1.0
10.31,10.735,10.24,10.56,10.56,49399120.0,0.0,1.0
9.87,10.1,9.75,10.01,10.01,36096337.0,0.0,1.0
10.22,10.25,9.67,10.02,10.02,53072146.0,0.0,1.0
10.65,10.81,10.26,10.47,10.47,49320198.0,0.0,1.0
10.25,10.715,9.93,10.67,10.67,62563462.0,0.0,1.0
11.17,11.29,10.45,10.53,10.53,49624855.0,0.0,1.0
11.905,11.95,11.36,11.51,11.51,63244226.0,0.0,1.0
11.86,12.12,11.17,11.17,11.17,62011983.0,0.0,1.0
10.79,11.69,10.54,11.56,11.56,100635550.0,0.0,1.0
10.3,10.83,10.05,10.34,10.34,84026754.0,0.0,1.0
10.0,10.175,9.14,9.25,9.25,81211776.0,0.0,1.0
10.68,10.8697,10.08,10.56,10.56,61734919.0,0.0,1.0
12.23,12.38,10.7,10.98,10.98,84143588.0,0.0,1.0
11.0,11.69,10.6,11.68,11.68,125406433.0,0.0,1.0
9.19,10.17,9.03,9.94,9.94,64660309.0,0.0,1.0
9.6,10.13,9.48,9.49,9.49,76033430.0,0.0,1.0
10.33,10.45,9.685,9.71,9.71,56233207.0,0.0,1.0
9.51,10.05,9.38,9.67,9.67,46879566.0,0.0,1.0
9.5,9.98,9.28,9.69,9.69,74420567.0,0.0,1.0
10.53,10.73,9.965,9.98,9.98,64014707.0,0.0,1.0
10.44,11.085,10.23,10.81,10.81,79279474.0,0.0,1.0
9.81,10.63,9.53,10.63,10.63,98188964.0,0.0,1.0
10.01,10.03,8.375,9.45,9.45,166523691.0,0.0,1.0
10.67,11.21,10.4101,11.21,11.21,42496344.0,0.0,1.0
11.03,11.43,10.88,10.97,10.97,47109291.0,0.0,1.0
11.8,11.9,10.71,10.92,10.92,99014243.0,0.0,1.0
13.08,13.22,12.09,12.21,12.21,58185375.0,0.0,1.0
12.19,12.64,12.121,12.21,12.21,51097229.0,0.0,1.0
12.99,13.18,11.73,11.75,11.75,60039763.0,0.0,1.0
12.35,12.85,11.95,12.78,12.78,53451097.0,0.0,1.0
12.93,13.455,12.48,12.88,12.88,50001274.0,0.0,1.0
13.13,13.42,12.58,12.83,12.83,51761537.0,0.0,1.0
13.66,13.73,13.02,13.28,13.28,48731714.0,0.0,1.0
14.29,14.53,13.54,13.76,13.76,53268911.0,0.0,1.0
16.0,16.24,14.76,14.77,14.77,67739039.0,0.0,1.0
16.5,16.679,15.64,16.04,16.04,39737476.0,0.0,1.0
16.17,16.879,15.95,16.73,16.73,45093557.0,0.0,1.0
15.85,15.94,15.275,15.49,15.49,38422951.0,0.0,1.0
15.21,16.15,15.2,15.77,15.77,39341292.0,0.0,1.0
16.83,16.94,15.37,15.58,15.58,51671121.0,0.0,1.0
16.8,17.46,16.66,17.33,17.33,37295608.0,0.0,1.0
18.18,18.23,16.975,17.19,17.19,40675183.0,0.0,1.0
17.77,18.4,17.53,17.62,17.62,42024469.0,0.0,1.0
18.0,18.21,17.42,17.64,17.64,39484356.0,0.0,1.0
18.51,19.18,18.09,18.35,18.35,36714989.0,0.0,1.0
20.12,20.16,18.25,18.3,18.3,64553218.0,0.0,1.0
20.7,20.95,20.21,20.41,20.41,29289960.0,0.0,1.0
19.75,20.96,19.75,20.9,20.9,36243974.0,0.0,1.0
21.1,21.35,19.96,20.15,20.15,65778725.0,0.0,1.0
21.51,22.74,21.25,21.51,21.51,43787912.0,0.0,1.0
21.47,22.09,21.03,21.94,21.94,47206662.0,0.0,1.0
20.95,22.3,20.845,21.97,21.97,77974404.0,0.0,1.0
20.1,21.875,20.01,21.75,21.75,86993978.0,0.0,1.0
18.4,19.59,18.29,19.16,19.16,55025946.0,0.0,1.0
17.37,17.7,16.985,17.68,17.68,30487815.0,0.0,1.0
16.54,18.3694,16.54,17.48,17.48,58645866.0,0.0,1.0
17.6,17.81,17.09,17.11,17.11,31972029.0,0.0,1.0
18.43,18.65,17.71,17.73,17.73,44131994.0,0.0,1.0
19.28,19.35,18.09,18.79,18.79,47665667.0,0.0,1.0
20.11,20.38,19.28,19.91,19.91,39383502.0,0.0,1.0
19.85,20.22,19.3,19.83,19.83,29823810.0,0.0,1.0
19.66,20.67,19.64,19.81,19.81,33043369.0,0.0,1.0
20.77,21.26,19.81,19.92,19.92,61525420.0,0.0,1.0
19.43,20.37,18.76,20.08,20.08,42455921.0,0.0,1.0
18.01,19.23,18.0,18.87,18.87,29270985.0,0.0,1.0
18.69,18.8,17.73,18.29,18.29,34210242.0,0.0,1.0
18.88,19.26,18.66,18.95,18.95,27327859.0,0.0,1.0
19.62,19.71,18.92,19.05,19.05,24262567.0,0.0,1.0
20.02,20.18,19.51,19.91,19.91,21640077.0,0.0,1.0
20.68,21.02,20.06,20.08,20.08,26455864.0,0.0,1.0
21.15,21.15,20.405,20.91,20.91,32103185.0,0.0,1.0
20.51,21.545,20.47,21.3,21.3,36347463.0,0.0,1.0
20.26,21.17,19.79,21.11,21.11,34953513.0,0.0,1.0
20.4,21.9699,20.08,20.82,20.82,56333137.0,0.0,1.0
19.58,20.07,19.07,20.05,20.05,35345669.0,0.0,1.0
20.23,20.24,19.01,19.17,19.17,38118411.0,0.0,1.0
20.25,20.788,20.15,20.17,20.17,29584796.0,0.0,1.0
20.53,20.68,19.88,20.22,20.22,34056448.0,0.0,1.0
20.39,21.47,20.325,20.9,20.9,37737418.0,0.0,1.0
20.31,20.37,19.43,20.3,20.3,44049861.0,0.0,1.0
19.68,20.95,19.61,20.18,20.18,51261963.0,0.0,1.0
20.19,20.76,19.868,20.18,20.18,54375762.0,0.0,1.0
18.81,19.835,18.66,19.73,19.73,36943004.0,0.0,1.0
19.18,19.55,18.59,19.49,19.49,31078790.0,0.0,1.0
19.14,19.5,18.75,19.38,19.38,32854073.0,0.0,1.0
19.35,19.74,18.91,19.04,19.04,27669949.0,0.0,1.0
18.98,19.5,18.77,19.33,19.33,30357221.0,0.0,1.0
20.72,20.78,19.0,19.24,19.24,55606897.0,0.0,1.0
20.16,21.1699,20.155,20.68,20.68,39842075.0,0.0,1.0
20.01,20.9489,20.01,20.37,20.37,40381214.0,0.0,1.0
21.1,21.1,19.525,20.2,20.2,63211671.0,0.0,1.0
20.96,21.82,20.6,20.84,20.84,40382252.0,0.0,1.0
20.84,20.9,19.93,20.72,20.72,41337762.0,0.0,1.0
21.06,21.45,20.66,21.05,21.05,39870470.0,0.0,1.0
20.23,21.8,20.23,21.09,21.09,50089210.0,0.0,1.0
20.41,21.19,20.04,20.87,20.87,49780835.0,0.0,1.0
21.6,21.74,20.5,20.57,20.57,54822660.0,0.0,1.0
22.16,23.28,21.66,22.6,22.6,48917208.0,0.0,1.0
21.4,23.1,21.36,22.5,22.5,72102001.0,0.0,1.0
21.81,21.84,20.2634,20.83,20.83,58981662.0,0.0,1.0
21.04,22.2,20.35,22.18,22.18,50662859.0,0.0,1.0
22.32,22.495,20.95,21.36,21.36,56855466.0,0.0,1.0
21.86,22.115,20.9,21.72,21.72,53074070.0,0.0,1.0
20.76,22.28,20.6,21.86,21.86,71581966.0,0.0,1.0
22.36,23.45,22.02,22.36,22.36,76353093.0,0.0,1.0
24.13,24.43,22.85,22.95,22.95,61701585.0,0.0,1.0
23.22,24.17,23.16,24.08,24.08,67062609.0,0.0,1.0
23.11,23.21,22.23,23.05,23.05,77502780.0,0.0,1.0
22.34,23.13,21.93,22.55,22.55,81590468.0,0.0,1.0
21.84,23.1,21.58,22.66,22.66,90287681.0,0.0,1.0
19.77,20.89,19.73,20.77,20.77,82067286.0,0.0,1.0
19.18,19.93,18.47,19.18,19.18,77244473.0,0.0,1.0
18.96,20.26,18.18,20.11,20.11,121426035.0,0.0,1.0
16.53,19.09,16.49,18.66,18.66,105582684.0,0.0,1.0
17.32,17.49,15.84,15.99,15.99,60529415.0,0.0,1.0
18.86,19.1799,17.81,18.14,18.14,61359973.0,0.0,1.0
18.715,19.68,18.45,18.82,18.82,73904071.0,0.0,1.0
20.32,20.45,19.86,20.38,20.38,65311628.0,0.0,1.0
18.98,19.68,18.6,19.65,19.65,49357189.0,0.0,1.0
18.99,19.8,18.8,19.18,19.18,68726766.0,0.0,1.0
18.42,18.74,17.81,18.08,18.08,57620710.0,0.0,1.0
17.54,18.85,16.99,18.85,18.85,77824978.0,0.0,1.0
17.59,18.93,17.48,17.57,17.57,92493705.0,0.0,1.0
17.77,17.92,16.76,17.39,17.39,96583292.0,0.0,1.0
16.16,16.69,15.67,16.57,16.57,51414780.0,0.0,1.0
14.52,16.13,14.33,16.03,16.03,64243804.0,0.0,1.0
14.79,15.0,14.09,14.64,14.64,44911059.0,0.0,1.0
15.53,15.53,14.4,14.63,14.63,48413501.0,0.0,1.0
15.8,16.01,15.24,16.0,16.0,65594706.0,0.0,1.0
17.5,17.6,15.68,16.44,16.44,86108911.0,0.0,1.0
16.11,16.8899,15.785,16.66,16.66,61191021.0,0.0,1.0
16.29,16.93,15.66,15.83,15.83,72865478.0,0.0,1.0
15.31,16.69,15.26,16.63,16.63,93233065.0,0.0,1.0
14.81,15.43,14.28,14.55,14.55,82270002.0,0.0,1.0
13.7,14.41,13.54,14.31,14.31,63558017.0,0.0,1.0
12.48,13.7499,11.67,13.1,13.1,83180607.0,0.0,1.0
13.79,14.355,12.64,12.71,12.71,86081345.0,0.0,1.0
14.26,14.68,12.86,13.44,13.44,77181784.0,0.0,1.0
14.33,14.525,13.48,13.55,13.55,63121038.0,0.0,1.0
15.61,15.8135,14.46,14.92,14.92,57655129.0,0.0,1.0
17.41,17.52,14.87,15.38,15.38,95761704.0,0.0,1.0
17.18,18.215,16.72,18.13,18.13,52975938.0,0.0,1.0
17.29,17.84,16.95,17.53,17.53,44062239.0,0.0,1.0
16.53,17.5,16.4,17.5,17.5,56156154.0,0.0,1.0
17.78,18.19,16.658,16.7,16.7,62933918.0,0.0,1.0
16.9,17.24,15.91,16.93,16.93,53118544.0,0.0,1.0
16.52,17.6863,16.52,16.76,16.76,56633016.0,0.0,1.0
17.235,17.41,16.16,16.36,16.36,52077343.0,0.0,1.0
16.81,17.4186,16.18,17.31,17.31,54990872.0,0.0,1.0
17.35,18.29,17.12,17.18,17.18,60727306.0,0.0,1.0
18.34,18.7,16.98,17.15,17.15,61501407.0,0.0,1.0
19.38,19.45,18.065,18.15,18.15,52565053.0,0.0,1.0
19.05,19.89,18.36,19.87,19.87,43394967.0,0.0,1.0
19.51,19.64,18.51,19.17,19.17,40647451.0,0.0,1.0
20.09,20.4,19.53,19.65,19.65,43937481.0,0.0,1.0
19.55,20.56,19.03,20.42,20.42,57163188.0,0.0,1.0
20.03,20.27,19.22,19.46,19.46,51210814.0,0.0,1.0
18.05,20.07,17.77,19.7,19.7,93693818.0,0.0,1.0
20.11,20.71,19.83,20.0,20.0,59574285.0,0.0,1.0
21.49,21.68,19.725,20.36,20.36,82616961.0,0.0,1.0
