date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-04-14,69.3,71.7,67.87,69.91,69.91,12887231.0,0.0,1.0
2023-04-13,69.89,72.53,68.05,68.95,68.95,19718505.0,0.0,1.0
2023-04-12,70.77,72.02,66.23,67.84,67.84,16773426.0,0.0,1.0
2023-04-11,68.09,72.6075,67.24,70.19,70.19,25348828.0,0.0,1.0
2023-04-10,61.37,66.19,59.66,66.13,66.13,14391788.0,0.0,1.0
2023-04-06,59.57,62.74,58.2,61.44,61.44,11875179.0,0.0,1.0
2023-04-05,62.54,63.05,59.22,60.78,60.78,10788873.0,0.0,1.0
2023-04-04,64.66,65.4,60.9501,62.54,62.54,11654422.0,0.0,1.0
2023-04-03,66.01,68.3299,62.7,63.61,63.61,14040299.0,0.0,1.0
2023-03-31,64.7,68.5687,63.93,67.57,67.57,15926632.0,0.0,1.0
2023-03-30,66.53,67.17,63.6825,64.16,64.16,11563092.0,0.0,1.0
2023-03-29,65.42,68.63,63.77,65.3,65.3,17673750.0,0.0,1.0
2023-03-28,62.32,64.05,61.11,63.04,63.04,11635869.0,0.0,1.0
2023-03-27,67.2,67.6,60.51,62.54,62.54,23531291.0,0.0,1.0
2023-03-24,64.18,68.73,63.53,67.83,67.83,21641914.0,0.0,1.0
2023-03-23,61.85,70.0,61.505,66.3,66.3,43152803.0,0.0,1.0
2023-03-22,84.25,85.38,76.86,77.14,77.14,24463224.0,0.0,1.0
2023-03-21,76.24,85.05,75.77,83.99,83.99,22991862.0,0.0,1.0
2023-03-20,76.76,77.06,72.87,75.14,75.14,19026423.0,0.0,1.0
2023-03-17,70.52,76.8,69.1,74.98,74.98,31006175.0,0.0,1.0
2023-03-16,64.4,68.62,63.12,67.78,67.78,15522943.0,0.0,1.0
2023-03-15,61.9,66.29,61.18,64.47,64.47,20825703.0,0.0,1.0
2023-03-14,65.45,66.21,61.1,62.65,62.65,25167751.0,0.0,1.0
2023-03-13,54.705,61.1,50.77,59.17,59.17,31431946.0,0.0,1.0
2023-03-10,56.39,56.41,51.57,53.44,53.44,25743814.0,0.0,1.0
2023-03-09,62.39,64.12,57.21,58.09,58.09,20996595.0,0.0,1.0
2023-03-08,61.2,65.4638,60.3509,63.01,63.01,15427824.0,0.0,1.0
2023-03-07,62.8,64.66,60.59,61.89,61.89,15821515.0,0.0,1.0
2023-03-06,64.6,69.82,62.64,62.77,62.77,19826090.0,0.0,1.0
2023-03-03,61.64,65.56,61.3822,64.51,64.51,17578962.0,0.0,1.0
2023-03-02,61.07,63.9,57.5,63.7,63.7,18122714.0,0.0,1.0
2023-03-01,65.3,66.79,63.09,64.67,64.67,15827077.0,0.0,1.0
2023-02-28,59.675,67.5,59.4201,64.83,64.83,24843894.0,0.0,1.0
2023-02-27,59.94,60.9696,58.1701,58.96,58.96,13043035.0,0.0,1.0
2023-02-24,60.88,61.59,56.8,58.44,58.44,14546162.0,0.0,1.0
2023-02-23,63.96,64.6473,59.8908,62.36,62.36,16698489.0,0.0,1.0
2023-02-22,62.5,67.48,57.35,61.18,61.18,32937546.0,0.0,1.0
2023-02-21,63.32,66.87,61.85,62.07,62.07,19845681.0,0.0,1.0
2023-02-17,64.94,67.9,61.51,65.2,65.2,23252183.0,0.0,1.0
2023-02-16,65.9,73.3,63.91,65.59,65.59,31704828.0,0.0,1.0
2023-02-15,60.21,69.46,59.46,69.34,69.34,25726719.0,0.0,1.0
2023-02-14,56.33,61.08,55.0319,59.03,59.03,23945786.0,0.0,1.0
2023-02-13,55.52,57.0899,53.66,56.4,56.4,14435886.0,0.0,1.0
2023-02-10,58.255,61.7384,55.97,57.09,57.09,17359921.0,0.0,1.0
2023-02-09,68.49,68.93,59.0,59.63,59.63,23920247.0,0.0,1.0
2023-02-08,70.83,73.97,68.3,69.44,69.44,11626528.0,0.0,1.0
2023-02-07,73.43,73.4801,67.3,71.42,71.42,19819664.0,0.0,1.0
2023-02-06,73.18,75.98,70.52,74.59,74.59,17998386.0,0.0,1.0
2023-02-03,73.72,87.63,73.02,74.63,74.63,37125516.0,0.0,1.0
2023-02-02,68.46,85.54,68.31,81.46,81.46,43911166.0,0.0,1.0
