time,open,high,low,close,volume
2023-03-31 20:00:00,207.95,208.0,207.62,207.65,256459
2023-03-31 19:30:00,207.56,208.0,207.56,207.95,185360
2023-03-31 19:00:00,207.4499,207.57,207.41,207.56,90265
2023-03-31 18:30:00,207.33,207.5,207.33,207.43,101573
2023-03-31 18:00:00,207.41,207.45,207.28,207.35,160089
2023-03-31 17:30:00,207.28,207.46,207.17,207.42,154858
2023-03-31 17:00:00,207.5,207.6,207.12,207.26,233002
2023-03-31 16:30:00,207.46,207.6,207.1,207.47,1514747
2023-03-31 16:00:00,207.06,207.55,206.02,207.45,13623385
2023-03-31 15:30:00,207.03,207.79,206.6611,207.0301,10410288
2023-03-31 15:00:00,206.91,207.4,206.74,207.06,8019521
2023-03-31 14:30:00,205.69,207.18,205.64,206.89,11806092
2023-03-31 14:00:00,204.82,205.8,204.62,205.6769,8851664
2023-03-31 13:30:00,204.8955,205.68,204.1201,204.83,11162111
2023-03-31 13:00:00,205.32,206.34,204.45,204.899,14440343
2023-03-31 12:30:00,204.1624,205.45,203.91,205.32,14793904
2023-03-31 12:00:00,202.0241,204.37,200.38,204.1608,13891184
2023-03-31 11:30:00,201.3,202.24,200.66,202.0241,11270596
2023-03-31 11:00:00,199.72,201.85,199.66,201.2961,14008219
2023-03-31 10:30:00,198.93,199.9,198.81,199.7299,11783260
2023-03-31 10:00:00,197.53,199.4599,197.2,198.88,17720317
2023-03-31 09:30:00,196.81,197.67,196.8,197.51,617076
2023-03-31 09:00:00,196.07,197.42,195.8,196.88,1012307
2023-03-31 08:30:00,196.2186,196.55,195.4415,196.16,382499
2023-03-31 08:00:00,196.14,196.16,195.77,195.78,71283
2023-03-31 07:30:00,195.8,196.22,195.77,196.21,120756
2023-03-31 07:00:00,195.74,195.8,195.46,195.79,30184
2023-03-31 06:30:00,195.89,195.89,195.27,195.68,31163
2023-03-31 06:00:00,196.24,196.3,195.75,195.87,21307
2023-03-31 05:30:00,195.58,196.31,195.58,196.27,31009
2023-03-31 05:00:00,195.43,195.85,195.32,195.5,17670
2023-03-31 04:30:00,195.35,195.85,195.15,195.45,68767
2023-03-30 20:00:00,195.34,195.63,195.25,195.35,136559
2023-03-30 19:30:00,195.26,195.34,195.2,195.3,42391
2023-03-30 19:00:00,195.22,195.43,195.2,195.24,42853
2023-03-30 18:30:00,195.37,195.37,195.05,195.19,67130
2023-03-30 18:00:00,195.33,195.48,195.33,195.38,41856
2023-03-30 17:30:00,195.45,195.56,195.32,195.33,236919
2023-03-30 17:00:00,195.63,195.68,195.42,195.5,73168
2023-03-30 16:30:00,195.26,195.86,195.15,195.61,832238
2023-03-30 16:00:00,195.6898,196.1,195.15,195.28,6875512
2023-03-30 15:30:00,195.63,195.98,195.08,195.6876,5576076
2023-03-30 15:00:00,196.31,196.54,195.3048,195.6262,5212734
2023-03-30 14:30:00,195.79,196.74,195.33,196.3087,6272841
2023-03-30 14:00:00,197.01,197.1599,195.5,195.7973,7586531
2023-03-30 13:30:00,195.98,197.26,195.72,197.0111,7719266
2023-03-30 13:00:00,195.39,196.1777,194.96,195.9801,5869760
2023-03-30 12:30:00,196.36,196.37,195.17,195.4,6318608
2023-03-30 12:00:00,196.45,196.77,195.94,196.36,6295503
2023-03-30 11:30:00,195.92,197.33,195.7501,196.45,10089543
2023-03-30 11:00:00,196.205,196.48,195.21,195.91,7813487
2023-03-30 10:30:00,195.99,196.5,194.5,196.1901,12045610
2023-03-30 10:00:00,195.58,196.78,194.42,195.96,17439563
2023-03-30 09:30:00,195.13,195.67,194.8,195.6,617484
2023-03-30 09:00:00,194.93,195.75,194.7,195.13,526557
2023-03-30 08:30:00,195.48,195.83,193.5,194.85,528776
2023-03-30 08:00:00,195.75,195.75,194.5,194.82,203927
2023-03-30 07:30:00,195.69,195.83,195.42,195.74,215050
2023-03-30 07:00:00,195.42,195.91,195.42,195.69,65057
2023-03-30 06:30:00,195.04,195.58,195.04,195.4,46496
2023-03-30 06:00:00,195.03,195.1,194.5,195.04,31954
2023-03-30 05:30:00,194.55,195.2,194.55,195.0,63665
2023-03-30 05:00:00,194.37,194.7,194.36,194.49,33509
2023-03-30 04:30:00,194.66,194.85,193.12,194.35,107768
2023-03-29 20:00:00,193.51,193.58,192.68,192.78,189621
2023-03-29 19:30:00,193.79,193.79,193.45,193.5,75311
